,i,yr,Wind_speed,Humidity,Loc_X,Loc_Y
1,1,2017,4.64465375,69.57431606,609686.7808,-2206246.417
2,2,2017,1.5518566,71.18433523,913975.2598,-2642484.861
3,3,2017,3.491521739,69.32230842,933488.2753,-2642481.006
4,5,2017,2.264571913,77.30430575,923324.9064,-2640491.831
5,6,2017,1.994667428,75.8492467,943004.0274,-2654506.426
6,8,2017,1.623288455,66.30710728,1102091.435,-3052771.772
7,9,2017,3.075117052,68.72550928,930076.8494,-2646264.37
8,11,2017,1.419141751,66.7568543,1070086.086,-3072103.616
9,12,2017,2.526523228,63.34712527,1027114.601,-3057992.123
10,14,2017,1.748536582,65.04248858,1083215.682,-3110970.699
11,15,2017,3.813934339,70.04299793,1108909.581,-3046546.949
12,21,2017,1.537931833,68.84741472,1094759.669,-3086430.672
13,24,2017,1.952952605,64.20008331,1092414.605,-3060140.654
14,25,2017,1.604238363,66.08469205,1096524.635,-3054660.114
15,26,2017,2.273756601,67.38860004,935089.9004,-2645582.326
16,27,2017,1.909553128,71.93752707,1106106.417,-3069358.004
17,28,2017,3.20001148,68.58905695,483423.6776,-2136375.695
18,29,2017,1.642315692,69.93991357,918542.9234,-2635301.988
19,31,2017,3.178542442,72.37820094,481682.9583,-2128963.696
20,33,2017,1.408875078,64.11117757,1096743.158,-3056085.385
21,34,2017,2.889706874,69.4945576,1109317.635,-3049140.804
22,35,2017,2.33701827,67.68755475,1108419.017,-3050020.872
