"","n.points","Design","Est.efficiency","Pred.efficiency"
"1","n=10","Dual-purpose",0.891228497842504,0.851473124010723
"2","n=10","Estimation",1,0.557663393308362
"3","n=10","Prediction",0.763412856531812,1
"4","n=15","Dual-purpose",0.921215859342544,0.887483580892528
"5","n=15","Estimation",1,0.793536817576496
"6","n=15","Prediction",0.824338197473999,1
"7","n=5","Dual-purpose",0.963382419419271,0.745087336846247
"8","n=5","Estimation",1,0.353446723710208
"9","n=5","Prediction",0.852856813410762,1
"10","n=7","Dual-purpose",0.950721401523694,0.892810273243952
"11","n=7","Estimation",1,0.618457661255184
"12","n=7","Prediction",0.764145554819227,1
